product_desc,revenue,qty,mass_kg,transactions,cum_revenue,cum_pct,rank,abc_class
Champion French Polony 2kg,40485.5,752.0,1504.0,510,89181647.63000005,90.74003165161808,306,B
Pepsi 2L Combo Deal,40456.28,1528.0,0.0,263,89222103.91000006,90.78119487550173,307,B
Eskort Sliced Curry Brawn 180g,40324.43,2683.0,482.94,1303,89262428.34000006,90.82222394540314,308,B
Liver Spread 250g,40210.0,3285.0,821.25,1644,89302638.34000006,90.86313658572404,309,B
Bacon Cutts 10 x 500g,40019.72,115.0,575.0,7,89342658.06000006,90.9038556210412,310,B
Cheese Twisters p/kg,39961.42,964.0,368.97,497,89382619.48000006,90.94451533760855,311,B
Eskort Hamburger Patties 600g,39882.07,623.0,373.8,458,89422501.55000006,90.98509431759268,312,B
Dagbreek - Peanut Brittle Biscuits 350g,38923.24,1115.0,415.95,799,89461424.79000005,91.02469771272435,313,B
Eskort Mustard Sauce 500g,38909.89,1067.0,533.5,803,89500334.68000005,91.06428752457452,314,B
Eskort Pepperoni Griller 500g,38682.99,887.0,443.5,366,89539017.67000005,91.10364647151327,315,B
BC - Pepsi Cola 2Lt,38245.020000000004,2522.0,5044.0,1177,89577262.69000004,91.14255979524681,316,B
Sweet Savory Fillet Espetada p/kg,37809.3,577.0,406.14,297,89615071.99000004,91.18102978509225,317,B
Eskort Family Braai Box P/Kg,37691.9,236.0,365.95,192,89652763.89000005,91.21938032345861,318,B
Seven Colours Grill Seasoning 200g,37690.68,2206.0,441.2,1077,89690454.57000005,91.25772962050637,319,B
RTE Pork Frikkadels 160g,37617.49,1883.0,0.0,555,89728072.06000005,91.29600444861244,320,B
Eskort Kampvuur Braaiwors 720g,37534.86,1145.0,822.96,677,89765606.92000005,91.33419520281973,321,B
Snack Hamper Combo,37442.18,182.0,0.0,134,89803049.10000005,91.37229165751187,322,B
Eskort Smoked Jalapeno Sausage R/Kg,37238.74,686.0,359.45,463,89840287.84000005,91.41018111723889,323,B
Eskort Footlong Russians 6 x 1kg,37169.73,80.0,480.0,38,89877457.57000005,91.44800036106668,324,B
Lunch Bar Large 44g,37143.48,2625.0,125.23,1310,89914601.05000006,91.48579289619492,325,B
Marinated Pulled Pork 500g,36985.43,483.0,241.5,327,89951586.48000006,91.5234246195151,326,B
Ham and Tongue Roll 500g,36949.59,825.0,412.5,543,89988536.07000007,91.5610198765575,327,B
Eskort Smoked Viennas 125g,36948.78,4213.0,530.55,1319,90025484.85000007,91.59861430944572,328,B
Monster Mega 553ml,36654.32,1557.0,859.87,927,90062139.17000006,91.63590913686097,329,B
Chief Chicken Crumbed Strips 1Kg,36635.79,422.0,422.0,197,90098774.96000007,91.67318511047804,330,B
Ham & Tongue Loaf 2.5kg,36567.2,185.0,462.5,178,90135342.16000007,91.71039129553506,331,B
RTE: Breakfast Bun,36359.47,1239.0,56.7,322,90171701.63000007,91.74738612066236,332,B
Red Viennas 6 x 1kg,36271.909999999996,136.0,816.0,71,90207973.54000007,91.78429185574272,333,B
Sliced Smoked Chicken Roll 180g,35824.94,1741.0,312.12,758,90243798.48000006,91.82074281034949,334,B
Rib Eye Steak With Paprika Onion P/Kg,35788.33,703.0,359.82,398,90279586.81000006,91.8571565152233,335,B
Eskort Marinated Chicken Braai Burger 500g,35600.07,640.0,320.0,413,90315186.88000005,91.89337867039139,336,B
Curry Brawn 500g,35513.62,1285.0,642.5,790,90350700.50000006,91.92951286490899,337,B
Combo Deal 15,35276.79,171.0,0.0,89,90385977.29000007,91.9654060909957,338,B
Liver Spread 100g,35250.62,4255.0,425.5,1515,90421227.91000007,92.0012726897808,339,B
Bacon Biltong p/kg,35162.19,1537.0,102.15,777,90456390.10000007,92.03704931331636,340,B
